source_recipe_id,source_ingredient_text,normalized_concept,existing_food_ingredient_code,resolution_status,missing_reason
CACFP6-CORN-EDAMAME-BLEND,1 tsp Sesame oil,sesame_oil,SESAME_OIL,RESOLVED_EXISTING,
CACFP6-CORN-EDAMAME-BLEND,"⅔ cup or 3 oz Fresh onions, chopped",onion_yellow,ONION_YELLOW,RESOLVED_EXISTING,
CACFP6-CORN-EDAMAME-BLEND,"2 tsp Garlic, minced",garlic,GARLIC,RESOLVED_EXISTING,
CACFP6-CORN-EDAMAME-BLEND,"⅔ cup or 5 oz Frozen corn, thawed, drained",corn_sweet,CORN_SWEET,RESOLVED_EXISTING,
CACFP6-CORN-EDAMAME-BLEND,"1 cup or 6 oz Frozen edamame, thawed, drained",edamame_frozen,EDAMAME_FROZEN,RESOLVED_EXISTING,
CACFP6-CORN-EDAMAME-BLEND,"1 ½ cups or 6 oz Fresh carrots, shredded",carrot,CARROT,RESOLVED_EXISTING,
CACFP6-CORN-EDAMAME-BLEND,¼ tsp Ground coriander seeds,coriander_seed,CORIANDER_SEED,RESOLVED_EXISTING,
CACFP6-CORN-EDAMAME-BLEND,1 tsp Toasted sesame seeds,sesame_seeds,SESAME_SEEDS,RESOLVED_EXISTING,
CACFP6-CORN-EDAMAME-BLEND,¼ tsp Salt,salt,SALT,RESOLVED_EXISTING,
CACFP6-CORN-EDAMAME-BLEND,"¼ cup or ½ oz Fresh cilantro, chopped",cilantro,CILANTRO,RESOLVED_EXISTING,
SNAP6-HEAVENLY-DEVILED-EGGS,6 eggs (in shell),egg,EGG,RESOLVED_EXISTING,
SNAP6-HEAVENLY-DEVILED-EGGS,2 tablespoons light mayonnaise,mayonnaise_low_fat,MAYONNAISE_LOW_FAT,RESOLVED_EXISTING,
SNAP6-HEAVENLY-DEVILED-EGGS,1/8 tsp each of salt and pepper may be substituted for 1 tsp mustard.,salt,SALT,RESOLVED_EXISTING,
SNAP6-HEAVENLY-DEVILED-EGGS,1/8 tsp each of salt and pepper may be substituted for 1 tsp mustard.,black_pepper,BLACK_PEPPER,RESOLVED_EXISTING,
CACFP6-TABBOULEH,"⅓ cup or 3 oz Quinoa, dry",quinoa,QUINOA,RESOLVED_EXISTING,
CACFP6-TABBOULEH,"½ cup or 3 oz Bulgur wheat, dry",bulgur,BULGUR,RESOLVED_EXISTING,
CACFP6-TABBOULEH,1 ⅓ cups or 11 oz Water,water,WATER,RESOLVED_EXISTING,
CACFP6-TABBOULEH,½ tsp Salt,salt,SALT,RESOLVED_EXISTING,
CACFP6-TABBOULEH,"1 ½ cups or 9 ⅓ oz Fresh tomatoes, unpeeled, diced",tomato,TOMATO,RESOLVED_EXISTING,
CACFP6-TABBOULEH,"1 cup or 4 ¾ oz Fresh cucumbers, peeled, seeded, diced",cucumber,CUCUMBER,RESOLVED_EXISTING,
CACFP6-TABBOULEH,"¼ cup or ½ oz Fresh parsley, chopped",parsley,PARSLEY,RESOLVED_EXISTING,
CACFP6-TABBOULEH,"¼ cup or 1 ½ oz Fresh onions, diced",onion_yellow,ONION_YELLOW,RESOLVED_EXISTING,
CACFP6-TABBOULEH,"¼ cup or 1 ¼ oz Fresh red bell peppers, diced",bell_pepper_red,BELL_PEPPER_RED,RESOLVED_EXISTING,
CACFP6-TABBOULEH,"¼ tsp Fresh mint, chopped",mint_fresh,MINT_FRESH,RESOLVED_EXISTING,
CACFP6-TABBOULEH,¼ tsp Ground cumin,cumin_ground,CUMIN_GROUND,RESOLVED_EXISTING,
CACFP6-TABBOULEH,¼ cup or 2 oz Lemon juice,lemon,LEMON,RESOLVED_EXISTING,
CACFP6-TABBOULEH,2 ¼ tsp Olive oil,olive_oil,OLIVE_OIL,RESOLVED_EXISTING,
WIC1-BEYOND-BASIC-GRILLED-CHEESE,whole wheat bread (2 slices),bread_whole_wheat,BREAD_WHOLE_WHEAT,RESOLVED_EXISTING,
WIC1-BEYOND-BASIC-GRILLED-CHEESE,"3/4 c (cup) cheese (grated, try Muenster, Monterey jack or mozzarella)",cheese_cheddar,CHEESE_CHEDDAR,RESOLVED_EXISTING,
WIC1-BEYOND-BASIC-GRILLED-CHEESE,"1/2 c (cup) broccoli and cauliflower (roasted, cut into small pieces or use fresh veggies of your choice)",cauliflower,CAULIFLOWER,RESOLVED_EXISTING,
CACFP6-CREAMY-COLESLAW,"½ cup or 5 oz Low-fat yogurt, plain",yogurt_plain_low_fat,YOGURT_PLAIN_LOW_FAT,RESOLVED_EXISTING,
CACFP6-CREAMY-COLESLAW,¼ cup or 2 oz Low-fat mayonnaise,mayonnaise_low_fat,MAYONNAISE_LOW_FAT,RESOLVED_EXISTING,
CACFP6-CREAMY-COLESLAW,¼ cup or 2 ½ oz Honey,honey,HONEY,RESOLVED_EXISTING,
CACFP6-CREAMY-COLESLAW,⅛ cup Apple cider vinegar,apple_cider_vinegar,APPLE_CIDER_VINEGAR,RESOLVED_EXISTING,
CACFP6-CREAMY-COLESLAW,¼ tsp Salt,salt,SALT,RESOLVED_EXISTING,
CACFP6-CREAMY-COLESLAW,¼ tsp Ground black pepper,black_pepper,BLACK_PEPPER,RESOLVED_EXISTING,
CACFP6-CREAMY-COLESLAW,"4 cups or 6 oz Fresh green cabbage, chilled, shredded",cabbage_green,CABBAGE_GREEN,RESOLVED_EXISTING,
CACFP6-CREAMY-COLESLAW,"¾ cup or 1 ¼ oz Fresh purple cabbage, chilled, shredded",cabbage_red,CABBAGE_RED,RESOLVED_EXISTING,
CACFP6-CREAMY-COLESLAW,"¾ cup or 2 oz Fresh carrots, shredded",carrot,CARROT,RESOLVED_EXISTING,
CACFP6-CREAMY-COLESLAW,"½ cup or 1 oz Fresh green onions, diced",green_onion,GREEN_ONION,RESOLVED_EXISTING,
CACFP6-CREAMY-COLESLAW,½ cup or 2 ¼ oz Dried cranberries,cranberries_dried,CRANBERRIES_DRIED,RESOLVED_EXISTING,
TNC6-EGGS-SPINACH,"1 teaspoon olive, canola, or vegetable oil",olive_oil,OLIVE_OIL,RESOLVED_EXISTING,
TNC6-EGGS-SPINACH,12 large eggs,egg,EGG,RESOLVED_EXISTING,
TNC6-EGGS-SPINACH,3 cups rinsed chopped fresh spinach,spinach,SPINACH,RESOLVED_EXISTING,
TNC6-APPLESAUCE,"6 apples, any variety, rinsed",apple,APPLE,RESOLVED_EXISTING,
TNC6-APPLESAUCE,½ cup water,water,WATER,RESOLVED_EXISTING,
SNAP4-SPANISH-FRITTATA,"1½ pounds (about 2) russet potatoes, scrubbed",potato,POTATO,RESOLVED_EXISTING,
SNAP4-SPANISH-FRITTATA,6 large eggs,egg,EGG,RESOLVED_EXISTING,
SNAP4-SPANISH-FRITTATA,2 teaspoons vegetable oil,sunflower_oil,SUNFLOWER_OIL,RESOLVED_EXISTING,
SNAP4-SPANISH-FRITTATA,"1 medium yellow onion, peeled and chopped",onion_yellow,ONION_YELLOW,RESOLVED_EXISTING,
