demand_key,external_ingredient_ids,external_names,map_states,exactness_tiers,familyfoodos_food_code,candidate_recipe_count,candidate_row_count,candidate_input_mass_g,exact_variant_recipe_count,exact_variant_input_mass_g,source_strategy,rights_status,authority_blocker,proposed_dc2_batch,rationale
FFOS:BUTTER_UNSALTED,ING-0032,Масло сливочное несоленое,EXACT_EXISTING,A_REFERENCE,BUTTER_UNSALTED,16,27,330,9,100,REUSE_CURRENT_ACCEPTED_PROFILE,ACCEPTED_REPOSITORY_TRUTH,NONE,REUSE_NO_DC2_WRITE,Existing accepted FamilyFoodOS identity/profile; do not re-promote external nutrients.
FFOS:EGG,ING-0071,Яйцо куриное,ALIAS_EXISTING,A_REFERENCE,EGG,11,14,430,9,169,REUSE_CURRENT_ACCEPTED_PROFILE,ACCEPTED_REPOSITORY_TRUTH,NONE,REUSE_NO_DC2_WRITE,Existing accepted FamilyFoodOS identity/profile; do not re-promote external nutrients.
FFOS:POTATO,ING-0019,Картофель,EXACT_EXISTING,A_REFERENCE,POTATO,11,16,4423,9,2623,REUSE_CURRENT_ACCEPTED_PROFILE,ACCEPTED_REPOSITORY_TRUTH,NONE,REUSE_NO_DC2_WRITE,Existing accepted FamilyFoodOS identity/profile; do not re-promote external nutrients.
FFOS:CARROT,ING-0035,Морковь красная,ALIAS_EXISTING,A_REFERENCE,CARROT,9,18,1685,4,930,REUSE_CURRENT_ACCEPTED_PROFILE,ACCEPTED_REPOSITORY_TRUTH,NONE,REUSE_NO_DC2_WRITE,Existing accepted FamilyFoodOS identity/profile; do not re-promote external nutrients.
FFOS:SUGAR,ING-0042,Сахар-песок,EXACT_EXISTING,A_REFERENCE,SUGAR,9,15,139,6,68,REUSE_CURRENT_ACCEPTED_PROFILE,ACCEPTED_REPOSITORY_TRUTH,NONE,REUSE_NO_DC2_WRITE,Existing accepted FamilyFoodOS identity/profile; do not re-promote external nutrients.
FFOS:WATER,ING-0006,Вода,ALIAS_EXISTING,B_REFERENCE,WATER,9,13,1961,6,561,REUSE_CURRENT_ACCEPTED_PROFILE,ACCEPTED_REPOSITORY_TRUTH,NONE,REUSE_NO_DC2_WRITE,Existing accepted FamilyFoodOS identity/profile; do not re-promote external nutrients.
FFOS:FLOUR_WHEAT,ING-0036,Мука пшеничная в/с,ALIAS_EXISTING,A_REFERENCE,FLOUR_WHEAT,5,5,109,5,109,REUSE_CURRENT_ACCEPTED_PROFILE,ACCEPTED_REPOSITORY_TRUTH,NONE,REUSE_NO_DC2_WRITE,Existing accepted FamilyFoodOS identity/profile; do not re-promote external nutrients.
FFOS:ONION_YELLOW,ING-0028,Лук репчатый,ALIAS_EXISTING,A_REFERENCE,ONION_YELLOW,5,7,380,4,80,REUSE_CURRENT_ACCEPTED_PROFILE,ACCEPTED_REPOSITORY_TRUTH,NONE,REUSE_NO_DC2_WRITE,Existing accepted FamilyFoodOS identity/profile; do not re-promote external nutrients.
FFOS:CABBAGE_GREEN,ING-0017,Капуста белокочанная,EXACT_EXISTING,A_REFERENCE,CABBAGE_GREEN,4,6,490,2,220,REUSE_CURRENT_ACCEPTED_PROFILE,ACCEPTED_REPOSITORY_TRUTH,NONE,REUSE_NO_DC2_WRITE,Existing accepted FamilyFoodOS identity/profile; do not re-promote external nutrients.
FFOS:GREEN_ONION,ING-0027,Лук зеленый,EXACT_EXISTING,A_REFERENCE,GREEN_ONION,3,3,470,3,470,REUSE_CURRENT_ACCEPTED_PROFILE,ACCEPTED_REPOSITORY_TRUTH,NONE,REUSE_NO_DC2_WRITE,Existing accepted FamilyFoodOS identity/profile; do not re-promote external nutrients.
FFOS:GREEN_PEAS_CANNED,ING-0012,Горошек зеленый консервированный,EXACT_EXISTING,A_REFERENCE,GREEN_PEAS_CANNED,3,5,200,0,0,REUSE_CURRENT_ACCEPTED_PROFILE,ACCEPTED_REPOSITORY_TRUTH,NONE,REUSE_NO_DC2_WRITE,Existing accepted FamilyFoodOS identity/profile; do not re-promote external nutrients.
FFOS:SALT,ING-0050,Соль поваренная,EXACT_EXISTING,B_REFERENCE,SALT,3,4,23.2,2,3.2,REUSE_CURRENT_ACCEPTED_PROFILE,ACCEPTED_REPOSITORY_TRUTH,NONE,REUSE_NO_DC2_WRITE,Existing accepted FamilyFoodOS identity/profile; do not re-promote external nutrients.
FFOS:TURNIP,ING-0077,Репа,EXACT_EXISTING,A_REFERENCE,TURNIP,3,6,135,0,0,REUSE_CURRENT_ACCEPTED_PROFILE,ACCEPTED_REPOSITORY_TRUTH,NONE,REUSE_NO_DC2_WRITE,Existing accepted FamilyFoodOS identity/profile; do not re-promote external nutrients.
FFOS:CAULIFLOWER,ING-0018,Капуста цветная,EXACT_EXISTING,A_REFERENCE,CAULIFLOWER,2,5,320,0,0,REUSE_CURRENT_ACCEPTED_PROFILE,ACCEPTED_REPOSITORY_TRUTH,NONE,REUSE_NO_DC2_WRITE,Existing accepted FamilyFoodOS identity/profile; do not re-promote external nutrients.
FFOS:CUCUMBER,ING-0037,Огурец свежий,ALIAS_EXISTING,A_REFERENCE,CUCUMBER,2,2,1110,2,1110,REUSE_CURRENT_ACCEPTED_PROFILE,ACCEPTED_REPOSITORY_TRUTH,NONE,REUSE_NO_DC2_WRITE,Existing accepted FamilyFoodOS identity/profile; do not re-promote external nutrients.
FFOS:GREEN_BEANS,ING-0144,Фасоль овощная (лопатка),ALIAS_EXISTING,C_PROXY,GREEN_BEANS,2,3,180,0,0,REUSE_CURRENT_ACCEPTED_PROFILE,ACCEPTED_REPOSITORY_TRUTH,NONE,REUSE_NO_DC2_WRITE,Existing accepted FamilyFoodOS identity/profile; do not re-promote external nutrients.
FFOS:TOMATO,ING-0058,Томат свежий,ALIAS_EXISTING,A_REFERENCE,TOMATO,2,2,1020,2,1020,REUSE_CURRENT_ACCEPTED_PROFILE,ACCEPTED_REPOSITORY_TRUTH,NONE,REUSE_NO_DC2_WRITE,Existing accepted FamilyFoodOS identity/profile; do not re-promote external nutrients.
